classifier, dataset, accuracy, stdev
ExtraTree, statlog-vehicle, 0.6626481030281935, 0.029721786236711036
ExtraTree, synthetic-control, 0.8525, 0.03449033681095813
ExtraTree, tic-tac-toe, 0.8658529668411867, 0.030146489305175026
ExtraTree, vertebral-column-2clases, 0.747741935483871, 0.06311049392365933
ExtraTree, wine, 0.8719999999999999, 0.06055135103670992
ExtraTree, zoo, 0.9346666666666665, 0.06150449350322653
STree, balance-scale, 0.97056, 0.015046806970251203
STree, balloons, 0.86, 0.28501461950807594
STree, breast-cancer-wisc-diag, 0.9727635460332246, 0.017313211324042233
STree, breast-cancer-wisc-prog, 0.811128205128205, 0.05846009894763935
STree, breast-cancer-wisc, 0.967808838643371, 0.012084225264206064
STree, breast-cancer, 0.7342105263157894, 0.047977358056609264
STree, cardiotocography-10clases, 0.8094129798398231, 0.023346080031830214
STree, cardiotocography-3clases, 0.904047500690417, 0.015332156149647586
STree, conn-bench-sonar-mines-rocks, 0.8320905923344947, 0.06095204566527709
STree, cylinder-bands, 0.7476127926898914, 0.04110007272505122
STree, dermatology, 0.9718326545723807, 0.020688266783058316
STree, echocardiogram, 0.848974358974359, 0.06695913759706462
STree, fertility, 0.88, 0.0547722557505166
STree, haberman-survival, 0.735637228979376, 0.04346136548997221
STree, heart-hungarian, 0.8275219170075979, 0.05052827428335672
STree, hepatitis, 0.8245161290322581, 0.073887165430815
STree, ilpd-indian-liver, 0.7234983790156204, 0.038488555090414656
STree, ionosphere, 0.9532756539235413, 0.02385368651558141
STree, iris, 0.966, 0.032991581417756315
STree, led-display, 0.7030000000000001, 0.029120439557122058
STree, libras, 0.7886111111111112, 0.05169130237032862
STree, low-res-spect, 0.8975365896667254, 0.03121679591619338
STree, lymphography, 0.8350344827586206, 0.05906491141171708
STree, mammographic, 0.8267465457685665, 0.022926835290767923
STree, molec-biol-promoter, 0.827142857142857, 0.09431966640910128
STree, musk-1, 0.9163881578947368, 0.027520787090975468
STree, oocytes_merluccius_nucleus_4d, 0.8351252989000477, 0.02209607725442717
STree, oocytes_merluccius_states_2f, 0.9179062649450025, 0.016316580296653664
STree, oocytes_trisopterus_nucleus_2f, 0.8009860085269921, 0.0218449453461112
STree, oocytes_trisopterus_states_5b, 0.9222488440521228, 0.017920300227679892
STree, parkinsons, 0.882051282051282, 0.04783271309276316
STree, pima, 0.7692530345471521, 0.02618732989053553
STree, pittsburg-bridges-MATERIAL, 0.8677489177489177, 0.07122264688853039
STree, pittsburg-bridges-REL-L, 0.6645714285714286, 0.10801301676827298
STree, pittsburg-bridges-SPAN, 0.659766081871345, 0.11650021102545294
STree, pittsburg-bridges-T-OR-D, 0.8628095238095238, 0.0747571882042698
STree, planning, 0.7352702702702704, 0.06697755238925641
STree, post-operative, 0.711111111111111, 0.07535922203472521
STree, seeds, 0.9528571428571427, 0.0279658035429067
STree, statlog-australian-credit, 0.6782608695652174, 0.03904983647915211
STree, statlog-german-credit, 0.7644, 0.028803472012936236
STree, statlog-heart, 0.8229629629629629, 0.044003990341567836
STree, statlog-image, 0.9559307359307361, 0.00956073126474503
STree, statlog-vehicle, 0.7930281935259312, 0.03010396812322711
STree, synthetic-control, 0.9833333333333334, 0.01092906420717001
STree, tic-tac-toe, 0.9844442626527051, 0.008387465200358178
STree, vertebral-column-2clases, 0.8529032258064515, 0.04088510843291576
STree, wine, 0.9791587301587302, 0.022426953738041516
STree, zoo, 0.9575238095238094, 0.04546150348723332
ODTE, balance-scale, 0.9239999999999999, 0.021659178193089396
ODTE, balloons, 0.7066666666666667, 0.26100234141137935
ODTE, breast-cancer-wisc-diag, 0.9739931687626143, 0.016554866765950735
ODTE, breast-cancer-wisc-prog, 0.8070512820512818, 0.059157047027533
ODTE, breast-cancer-wisc, 0.9692415210688591, 0.012072349303984906
ODTE, breast-cancer, 0.7359649122807018, 0.043381723438568644
ODTE, cardiotocography-10clases, 0.8377754211543773, 0.020035258312140675
ODTE, cardiotocography-3clases, 0.9158537420602043, 0.013571959275117652
ODTE, conn-bench-sonar-mines-rocks, 0.7854239256678279, 0.07210263797211701
ODTE, cylinder-bands, 0.7460803350466401, 0.04260435987279008
ODTE, dermatology, 0.9680081451314329, 0.023334849960359193
ODTE, echocardiogram, 0.8238746438746438, 0.06589070412230422
ODTE, fertility, 0.88, 0.0547722557505166
ODTE, haberman-survival, 0.7353569539925967, 0.048347683288816515
ODTE, heart-hungarian, 0.8214085330216249, 0.049935356113179924
ODTE, hepatitis, 0.8283870967741934, 0.0804358574219804
ODTE, ilpd-indian-liver, 0.7157987032124963, 0.04136086940136927
ODTE, ionosphere, 0.9059718309859154, 0.03471067999538322
ODTE, iris, 0.964, 0.03255081497528987
ODTE, led-display, 0.7137000000000002, 0.025880687780659915
ODTE, libras, 0.8625, 0.047079031268550814
ODTE, low-res-spect, 0.9093969317580672, 0.035428439542986974
ODTE, lymphography, 0.832344827586207, 0.06549748038347303
ODTE, mammographic, 0.8288347366148531, 0.022955531218077037
ODTE, molec-biol-promoter, 0.7904329004329003, 0.0963032622623464
ODTE, musk-1, 0.8548026315789474, 0.033674907626638946
ODTE, oocytes_merluccius_nucleus_4d, 0.8087986609277857, 0.02324664503616214
ODTE, oocytes_merluccius_states_2f, 0.9230946915351506, 0.015908353110954166
ODTE, oocytes_trisopterus_nucleus_2f, 0.8073500270221581, 0.022955567972911185
ODTE, oocytes_trisopterus_states_5b, 0.9267387257551191, 0.01807476944375977
ODTE, parkinsons, 0.9066666666666667, 0.04522134909753559
ODTE, pima, 0.7728910958322721, 0.02900120258111359
ODTE, pittsburg-bridges-MATERIAL, 0.8277922077922077, 0.07594184145809477
ODTE, pittsburg-bridges-REL-L, 0.6884761904761906, 0.09103880212339951
ODTE, pittsburg-bridges-SPAN, 0.6746783625730994, 0.10284887278436884
ODTE, pittsburg-bridges-T-OR-D, 0.8664761904761904, 0.07649172587269897
ODTE, planning, 0.714924924924925, 0.07235508746526072
ODTE, post-operative, 0.711111111111111, 0.07535922203472521
ODTE, seeds, 0.9376190476190476, 0.04009342830436526
ODTE, statlog-australian-credit, 0.6782608695652174, 0.03904983647915211
ODTE, statlog-german-credit, 0.7576, 0.029227384419410526
ODTE, statlog-heart, 0.8362962962962963, 0.043879120650725585
ODTE, statlog-image, 0.9628138528138528, 0.00586719844055923
ODTE, statlog-vehicle, 0.7922151061608075, 0.04107954624320137
ODTE, synthetic-control, 0.987, 0.009741092797468319
ODTE, tic-tac-toe, 0.983296247818499, 0.008356787795559038
ODTE, vertebral-column-2clases, 0.8564516129032256, 0.037928954891305953
ODTE, wine, 0.9752857142857142, 0.024285200741535777
ODTE, zoo, 0.9574761904761906, 0.04557023434769017
Wodt, balance-scale, 0.92128, 0.031368162203100125
Wodt, balloons, 0.6783333333333331, 0.2527680095792715
Wodt, breast-cancer-wisc-diag, 0.9659043626766031, 0.014333296217523984
Wodt, breast-cancer-wisc-prog, 0.707551282051282, 0.06763805250945308
Wodt, breast-cancer-wisc, 0.9423514902363824, 0.01770754168958359
Wodt, breast-cancer, 0.6632486388384754, 0.04925109121345335
Wodt, cardiotocography-10clases, 0.7796334714167358, 0.01966283976162998
Wodt, cardiotocography-3clases, 0.9014120961060482, 0.016029994123889068
Wodt, conn-bench-sonar-mines-rocks, 0.804123112659698, 0.05815664564095989
Wodt, cylinder-bands, 0.7025452122596612, 0.03710659493721448
Wodt, dermatology, 0.9641873380229546, 0.016641323865204168
Wodt, echocardiogram, 0.7423646723646725, 0.08024332218287807
Wodt, fertility, 0.804, 0.06770524351924304
Wodt, haberman-survival, 0.6640084611316763, 0.048474808452857704
Wodt, heart-hungarian, 0.761928696668615, 0.052100433118643194
Wodt, hepatitis, 0.7683870967741936, 0.0837940093572466
Wodt, ilpd-indian-liver, 0.6778588269967581, 0.035631066332769044
Wodt, ionosphere, 0.8794607645875252, 0.03858080219956032
Wodt, iris, 0.9466666666666668, 0.036514837167011066
Wodt, led-display, 0.7047, 0.02916179006851258
Wodt, libras, 0.7755555555555556, 0.05481168659742484
Wodt, low-res-spect, 0.855533415623347, 0.03222774975371431
Wodt, lymphography, 0.7800459770114943, 0.07599005574288029
Wodt, mammographic, 0.7579566062176167, 0.024906146679797566
Wodt, molec-biol-promoter, 0.778917748917749, 0.07679562169715945
Wodt, musk-1, 0.8411776315789474, 0.03449014306500045
Wodt, oocytes_merluccius_nucleus_4d, 0.7350334768053562, 0.026108005434086076
Wodt, oocytes_merluccius_states_2f, 0.902934481109517, 0.022147306742109327
Wodt, oocytes_trisopterus_nucleus_2f, 0.7491436978322225, 0.03602040782195508
Wodt, oocytes_trisopterus_states_5b, 0.8888062211013031, 0.021400267111632645
Wodt, parkinsons, 0.9005128205128206, 0.05144589211891057
Wodt, pima, 0.6881622952211188, 0.035111562938444044
Wodt, pittsburg-bridges-MATERIAL, 0.7994805194805195, 0.07743566315819515
Wodt, pittsburg-bridges-REL-L, 0.6184285714285714, 0.08544243928422808
Wodt, pittsburg-bridges-SPAN, 0.5871929824561403, 0.11611933933595711
Wodt, pittsburg-bridges-T-OR-D, 0.8375238095238096, 0.07413072965623015
Wodt, planning, 0.5682732732732733, 0.08743812057354583
Wodt, post-operative, 0.5566666666666666, 0.10627822791331752
Wodt, seeds, 0.9290476190476191, 0.04218789629863413
Wodt, statlog-australian-credit, 0.5617391304347826, 0.03785467296768582
Wodt, statlog-german-credit, 0.6824999999999999, 0.021430118991736812
Wodt, statlog-heart, 0.7777777777777779, 0.04757493547653752
Wodt, statlog-image, 0.9534199134199135, 0.011148678082818688
Wodt, statlog-vehicle, 0.7296756004176818, 0.03014045315193517
Wodt, synthetic-control, 0.9785, 0.01453826368969525
Wodt, tic-tac-toe, 0.9422676701570681, 0.03344804236125215
Wodt, vertebral-column-2clases, 0.8070967741935482, 0.05624015696050971
Wodt, wine, 0.967920634920635, 0.028208046326376822
Wodt, zoo, 0.9514285714285715, 0.043724036675722826
SVC, balance-scale, 0.9785600000000001, 0.013711542582802286
SVC, balloons, 0.86, 0.28501461950807594
SVC, breast-cancer-wisc-diag, 0.9753951249805931, 0.014597293231205878
SVC, breast-cancer-wisc-prog, 0.7938589743589745, 0.05657320433780183
SVC, breast-cancer-wisc, 0.9679527235354572, 0.011995201821390402
SVC, breast-cancer, 0.7317543859649124, 0.04356606121838112
SVC, cardiotocography-10clases, 0.8201826014913007, 0.022919732876958584
SVC, cardiotocography-3clases, 0.9112899199116268, 0.012401790692530392
SVC, conn-bench-sonar-mines-rocks, 0.8320905923344947, 0.06095204566527709
SVC, cylinder-bands, 0.7476127926898914, 0.04110007272505122
SVC, dermatology, 0.972373195112921, 0.015862520651510115
SVC, echocardiogram, 0.8252991452991455, 0.07337261558656372
SVC, fertility, 0.88, 0.0547722557505166
SVC, haberman-survival, 0.7317133791644632, 0.045381650232207534
SVC, heart-hungarian, 0.8234482758620689, 0.048867109055436626
SVC, hepatitis, 0.8251612903225807, 0.07040539663356832
SVC, ilpd-indian-liver, 0.7133952254641912, 0.03827755623741007
SVC, ionosphere, 0.9532756539235413, 0.02385368651558141
SVC, iris, 0.966, 0.032991581417756315
SVC, led-display, 0.7204, 0.02523568901377571
SVC, libras, 0.7847222222222221, 0.051012132422797105
SVC, low-res-spect, 0.9016769529183564, 0.03269429070378195
SVC, lymphography, 0.8471494252873564, 0.05938135729224899
SVC, mammographic, 0.8267465457685665, 0.022926835290767923
SVC, molec-biol-promoter, 0.827142857142857, 0.09431966640910128
SVC, musk-1, 0.9163881578947368, 0.027520787090975468
SVC, oocytes_merluccius_nucleus_4d, 0.8403060736489717, 0.023610853521046887
SVC, oocytes_merluccius_states_2f, 0.9197675753228122, 0.016293604623296522
SVC, oocytes_trisopterus_nucleus_2f, 0.7991268840449167, 0.026483084828854114
SVC, oocytes_trisopterus_states_5b, 0.9222464420825075, 0.018202901471558224
SVC, parkinsons, 0.8743589743589744, 0.04565254824298682
SVC, pima, 0.7695127748068923, 0.02622048017958126
SVC, pittsburg-bridges-MATERIAL, 0.8629004329004327, 0.06975826134555882
SVC, pittsburg-bridges-REL-L, 0.6901904761904761, 0.0893877385352908
SVC, pittsburg-bridges-SPAN, 0.7094736842105265, 0.10829259913995691
SVC, pittsburg-bridges-T-OR-D, 0.8648095238095237, 0.07364850331687892
SVC, planning, 0.7352702702702704, 0.06697755238925641
SVC, post-operative, 0.7022222222222222, 0.0751623756679456
SVC, seeds, 0.9328571428571428, 0.04059925269913093
SVC, statlog-australian-credit, 0.6782608695652174, 0.03904983647915211
SVC, statlog-german-credit, 0.7663999999999999, 0.027166891614610618
SVC, statlog-heart, 0.8303703703703706, 0.040801301789393805
SVC, statlog-image, 0.9554545454545453, 0.00732216243366479
SVC, statlog-vehicle, 0.797883745214062, 0.028612590720497322
SVC, synthetic-control, 0.9913333333333334, 0.008326663997864544
SVC, tic-tac-toe, 0.9863236256544502, 0.007669725164798296
SVC, vertebral-column-2clases, 0.8461290322580644, 0.03927146112240879
SVC, wine, 0.9807936507936508, 0.02154056565547604
SVC, zoo, 0.9366666666666668, 0.05165294968232069
Cart, balance-scale, 0.7820799999999999, 0.03608203985364464
Cart, balloons, 0.6833333333333335, 0.26977356760397747
Cart, breast-cancer-wisc-diag, 0.9239217512808571, 0.02323176886368342
Cart, breast-cancer-wisc-prog, 0.6914615384615383, 0.07229069176397018
Cart, breast-cancer-wisc, 0.9433556012332991, 0.020857147642906682
Cart, breast-cancer, 0.6362613430127042, 0.05493193657305148
Cart, cardiotocography-10clases, 0.8109128969897819, 0.019011886406374308
Cart, cardiotocography-3clases, 0.9204613090306545, 0.013845817718125228
Cart, conn-bench-sonar-mines-rocks, 0.7253890824622532, 0.06929084790257113
Cart, cylinder-bands, 0.712632781267847, 0.046238358140227635
Cart, dermatology, 0.9396038504257683, 0.02387579095888003
Cart, echocardiogram, 0.7443589743589744, 0.08299708625595158
Cart, fertility, 0.7989999999999999, 0.08395832299420945
Cart, haberman-survival, 0.6404970914859863, 0.055117499856839475
Cart, heart-hungarian, 0.750613676212741, 0.04493113662535727
Cart, hepatitis, 0.7658064516129032, 0.07293747411360528
Cart, ilpd-indian-liver, 0.6639640436192161, 0.03825985300800366
Cart, ionosphere, 0.8757907444668007, 0.03797437861573896
Cart, iris, 0.9386666666666668, 0.04389887368841153
Cart, led-display, 0.7037, 0.029644729717101474
Cart, libras, 0.6549999999999998, 0.059210338603413376
Cart, low-res-spect, 0.8352036677834599, 0.030503013555880365
Cart, lymphography, 0.7683218390804598, 0.07551790968755526
Cart, mammographic, 0.7569187176165802, 0.020852411303147095
Cart, molec-biol-promoter, 0.7158008658008658, 0.08811757165025375
Cart, musk-1, 0.7768969298245614, 0.043771936691364643
Cart, oocytes_merluccius_nucleus_4d, 0.7195667144906744, 0.03068883042942922
Cart, oocytes_merluccius_states_2f, 0.8911927307508368, 0.02477313298773685
Cart, oocytes_trisopterus_nucleus_2f, 0.7257617246141836, 0.029837690053299604
Cart, oocytes_trisopterus_states_5b, 0.8702630156728517, 0.025916263242401694
Cart, parkinsons, 0.8558974358974359, 0.05822037527622443
Cart, pima, 0.7011722264663441, 0.030849394257539655
Cart, pittsburg-bridges-MATERIAL, 0.8006493506493506, 0.07641918889128255
Cart, pittsburg-bridges-REL-L, 0.6171904761904762, 0.10161093599079367
Cart, pittsburg-bridges-SPAN, 0.5575438596491228, 0.09592147935027655
Cart, pittsburg-bridges-T-OR-D, 0.8225238095238094, 0.08877499647986477
Cart, planning, 0.573963963963964, 0.07834935548163284
Cart, post-operative, 0.5822222222222222, 0.10554970744033704
Cart, seeds, 0.9161904761904762, 0.04238897730336739
Cart, statlog-australian-credit, 0.5720289855072465, 0.04059031952408632
Cart, statlog-german-credit, 0.6897, 0.02526677660486194
Cart, statlog-heart, 0.7344444444444446, 0.04693777803495507
Cart, statlog-image, 0.9613419913419914, 0.00934513626156175
Cart, statlog-vehicle, 0.706384267316394, 0.030533108686824795
Cart, synthetic-control, 0.9023333333333332, 0.02511307760244982
Cart, tic-tac-toe, 0.9522851221640489, 0.018529859619663462
Cart, vertebral-column-2clases, 0.7996774193548387, 0.04231712199258938
Cart, wine, 0.9015873015873015, 0.0526003102936011
Cart, zoo, 0.9555714285714286, 0.044427856881917915
